"","rn","1","variable","estimate"
"1","Year",0.00703400336206222,"Year",0.00703400336206222
"2","Vehicle.StyleConvertible",0.19786824869386,"Vehicle.StyleConvertible",0.19786824869386
"3","Vehicle.StyleCoupe",0.141130154168156,"Vehicle.StyleCoupe",0.141130154168156
"4","Engine.HP.Clean",1.21545891199728e-06,"Engine.HP.Clean",1.21545891199728e-06
"5","Engine.Cylinders.Clean8",0.0198167850214478,"Engine.Cylinders.Clean8",0.0198167850214478
"6","Engine.Cylinders.Clean10",0.082140387151456,"Engine.Cylinders.Clean10",0.082140387151456
"7","Engine.Cylinders.Clean12",0.589598682510096,"Engine.Cylinders.Clean12",0.589598682510096
"8","Vehicle.SizeLarge:Engine.Fuel.Typediesel",0.0314901977340884,"Vehicle.SizeLarge:Engine.Fuel.Typediesel",0.0314901977340884
"9","Vehicle.SizeLarge:Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85)",0.0283461068377737,"Vehicle.SizeLarge:Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85)",0.0283461068377737
"10","Vehicle.SizeLarge:Engine.Fuel.Typeflex-fuel (premium unleaded required/E85)",0.138593700260342,"Vehicle.SizeLarge:Engine.Fuel.Typeflex-fuel (premium unleaded required/E85)",0.138593700260342
"11","Vehicle.SizeLarge:Engine.Fuel.Typepremium unleaded (required)",0.0487422736594479,"Vehicle.SizeLarge:Engine.Fuel.Typepremium unleaded (required)",0.0487422736594479
"12","Vehicle.SizeMidsize:Engine.Fuel.Typepremium unleaded (required)",0.00374423812711032,"Vehicle.SizeMidsize:Engine.Fuel.Typepremium unleaded (required)",0.00374423812711032
"13","Vehicle.SizeMidsize:Engine.Fuel.Typeregular unleaded",0.0117151129146919,"Vehicle.SizeMidsize:Engine.Fuel.Typeregular unleaded",0.0117151129146919
"14","Vehicle.SizeMidsize:Transmission.TypeAUTOMATIC",0.0524460778366333,"Vehicle.SizeMidsize:Transmission.TypeAUTOMATIC",0.0524460778366333
"15","Vehicle.SizeLarge:Driven_Wheelsfront wheel drive",0.0113795904827996,"Vehicle.SizeLarge:Driven_Wheelsfront wheel drive",0.0113795904827996
"16","Vehicle.SizeMidsize:Driven_Wheelsfront wheel drive",0.013494696536763,"Vehicle.SizeMidsize:Driven_Wheelsfront wheel drive",0.013494696536763
"17","Vehicle.SizeLarge:Vehicle.Style4dr Hatchback",0.17490807898398,"Vehicle.SizeLarge:Vehicle.Style4dr Hatchback",0.17490807898398
"18","Vehicle.SizeMidsize:Vehicle.Style4dr Hatchback",0.109412638532215,"Vehicle.SizeMidsize:Vehicle.Style4dr Hatchback",0.109412638532215
"19","Vehicle.SizeMidsize:Vehicle.StyleCargo Van",0.0131039476901905,"Vehicle.SizeMidsize:Vehicle.StyleCargo Van",0.0131039476901905
"20","Vehicle.SizeLarge:Vehicle.StyleCrew Cab Pickup",0.0199778172914666,"Vehicle.SizeLarge:Vehicle.StyleCrew Cab Pickup",0.0199778172914666
"21","Vehicle.SizeMidsize:Vehicle.StylePassenger Minivan",0.0445327951715008,"Vehicle.SizeMidsize:Vehicle.StylePassenger Minivan",0.0445327951715008
"22","Vehicle.SizeMidsize:Vehicle.StylePassenger Van",4.84988381377825e-05,"Vehicle.SizeMidsize:Vehicle.StylePassenger Van",4.84988381377825e-05
"23","Vehicle.SizeLarge:Vehicle.StyleSedan",0.111831489010742,"Vehicle.SizeLarge:Vehicle.StyleSedan",0.111831489010742
"24","Vehicle.SizeMidsize:Vehicle.StyleSedan",0.0513431845599982,"Vehicle.SizeMidsize:Vehicle.StyleSedan",0.0513431845599982
"25","Vehicle.SizeMidsize:Vehicle.StyleWagon",0.191621608795318,"Vehicle.SizeMidsize:Vehicle.StyleWagon",0.191621608795318
"26","Vehicle.SizeLarge:Engine.Cylinders.Clean4",0.156015656618309,"Vehicle.SizeLarge:Engine.Cylinders.Clean4",0.156015656618309
"27","Vehicle.SizeLarge:Engine.Cylinders.Clean6",0.100430204008861,"Vehicle.SizeLarge:Engine.Cylinders.Clean6",0.100430204008861
