"","rn","1","variable","estimate"
"1","(Intercept)",-4.39195509732528,"(Intercept)",-4.39195509732528
"2","Vehicle.SizeLarge",0,"Vehicle.SizeLarge",0
"3","Vehicle.SizeMidsize",0,"Vehicle.SizeMidsize",0
"4","Year",0.00703400336206222,"Year",0.00703400336206222
"5","Engine.Fuel.Typediesel",0,"Engine.Fuel.Typediesel",0
"6","Engine.Fuel.Typeelectric",0,"Engine.Fuel.Typeelectric",0
"7","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85)",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85)",0
"8","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85)",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85)",0
"9","Engine.Fuel.Typeflex-fuel (unleaded/E85)",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85)",0
"10","Engine.Fuel.Typeflex-fuel (unleaded/natural gas)",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas)",0
"11","Engine.Fuel.Typenatural gas",0,"Engine.Fuel.Typenatural gas",0
"12","Engine.Fuel.Typepremium unleaded (recommended)",0,"Engine.Fuel.Typepremium unleaded (recommended)",0
"13","Engine.Fuel.Typepremium unleaded (required)",0,"Engine.Fuel.Typepremium unleaded (required)",0
"14","Engine.Fuel.Typeregular unleaded",-0.0172489174838714,"Engine.Fuel.Typeregular unleaded",-0.0172489174838714
"15","Transmission.TypeAUTOMATIC",-0.0352384802519498,"Transmission.TypeAUTOMATIC",-0.0352384802519498
"16","Transmission.TypeDIRECT_DRIVE",-0.0285310937263148,"Transmission.TypeDIRECT_DRIVE",-0.0285310937263148
"17","Transmission.TypeMANUAL",0,"Transmission.TypeMANUAL",0
"18","Transmission.TypeUNKNOWN",0,"Transmission.TypeUNKNOWN",0
"19","Driven_Wheelsfour wheel drive",0,"Driven_Wheelsfour wheel drive",0
"20","Driven_Wheelsfront wheel drive",-0.101740196886169,"Driven_Wheelsfront wheel drive",-0.101740196886169
"21","Driven_Wheelsrear wheel drive",0,"Driven_Wheelsrear wheel drive",0
"22","Vehicle.Style2dr SUV",0,"Vehicle.Style2dr SUV",0
"23","Vehicle.Style4dr Hatchback",-0.132300919502932,"Vehicle.Style4dr Hatchback",-0.132300919502932
"24","Vehicle.Style4dr SUV",0,"Vehicle.Style4dr SUV",0
"25","Vehicle.StyleCargo Minivan",0,"Vehicle.StyleCargo Minivan",0
"26","Vehicle.StyleCargo Van",0,"Vehicle.StyleCargo Van",0
"27","Vehicle.StyleConvertible",0.19786824869386,"Vehicle.StyleConvertible",0.19786824869386
"28","Vehicle.StyleConvertible SUV",0,"Vehicle.StyleConvertible SUV",0
"29","Vehicle.StyleCoupe",0.141130154168156,"Vehicle.StyleCoupe",0.141130154168156
"30","Vehicle.StyleCrew Cab Pickup",0,"Vehicle.StyleCrew Cab Pickup",0
"31","Vehicle.StyleExtended Cab Pickup",0,"Vehicle.StyleExtended Cab Pickup",0
"32","Vehicle.StylePassenger Minivan",0,"Vehicle.StylePassenger Minivan",0
"33","Vehicle.StylePassenger Van",0,"Vehicle.StylePassenger Van",0
"34","Vehicle.StyleRegular Cab Pickup",-0.0743623952346754,"Vehicle.StyleRegular Cab Pickup",-0.0743623952346754
"35","Vehicle.StyleSedan",0,"Vehicle.StyleSedan",0
"36","Vehicle.StyleWagon",0,"Vehicle.StyleWagon",0
"37","highway.MPG",-2.20212133447713e-05,"highway.MPG",-2.20212133447713e-05
"38","city.mpg",0,"city.mpg",0
"39","Popularity",0,"Popularity",0
"40","Engine.HP.Clean",1.21545891199728e-06,"Engine.HP.Clean",1.21545891199728e-06
"41","Engine.Cylinders.Clean4",-0.000589329534091483,"Engine.Cylinders.Clean4",-0.000589329534091483
"42","Engine.Cylinders.Clean5",0,"Engine.Cylinders.Clean5",0
"43","Engine.Cylinders.Clean6",0,"Engine.Cylinders.Clean6",0
"44","Engine.Cylinders.Clean8",0.0198167850214478,"Engine.Cylinders.Clean8",0.0198167850214478
"45","Engine.Cylinders.Clean10",0.082140387151456,"Engine.Cylinders.Clean10",0.082140387151456
"46","Engine.Cylinders.Clean12",0.589598682510096,"Engine.Cylinders.Clean12",0.589598682510096
"47","Engine.Cylinders.Clean16",0,"Engine.Cylinders.Clean16",0
"48","NumDoors.Clean3",0,"NumDoors.Clean3",0
"49","NumDoors.Clean4",0,"NumDoors.Clean4",0
"50","Vehicle.SizeLarge:Year",0,"Vehicle.SizeLarge:Year",0
"51","Vehicle.SizeMidsize:Year",0,"Vehicle.SizeMidsize:Year",0
"52","Vehicle.SizeLarge:Engine.Fuel.Typediesel",0.0314901977340884,"Vehicle.SizeLarge:Engine.Fuel.Typediesel",0.0314901977340884
"53","Vehicle.SizeMidsize:Engine.Fuel.Typediesel",0,"Vehicle.SizeMidsize:Engine.Fuel.Typediesel",0
"54","Vehicle.SizeLarge:Engine.Fuel.Typeelectric",0,"Vehicle.SizeLarge:Engine.Fuel.Typeelectric",0
"55","Vehicle.SizeMidsize:Engine.Fuel.Typeelectric",0,"Vehicle.SizeMidsize:Engine.Fuel.Typeelectric",0
"56","Vehicle.SizeLarge:Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85)",0.0283461068377737,"Vehicle.SizeLarge:Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85)",0.0283461068377737
"57","Vehicle.SizeMidsize:Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85)",0,"Vehicle.SizeMidsize:Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85)",0
"58","Vehicle.SizeLarge:Engine.Fuel.Typeflex-fuel (premium unleaded required/E85)",0.138593700260342,"Vehicle.SizeLarge:Engine.Fuel.Typeflex-fuel (premium unleaded required/E85)",0.138593700260342
"59","Vehicle.SizeMidsize:Engine.Fuel.Typeflex-fuel (premium unleaded required/E85)",0,"Vehicle.SizeMidsize:Engine.Fuel.Typeflex-fuel (premium unleaded required/E85)",0
"60","Vehicle.SizeLarge:Engine.Fuel.Typeflex-fuel (unleaded/E85)",0,"Vehicle.SizeLarge:Engine.Fuel.Typeflex-fuel (unleaded/E85)",0
"61","Vehicle.SizeMidsize:Engine.Fuel.Typeflex-fuel (unleaded/E85)",-0.0179227577803472,"Vehicle.SizeMidsize:Engine.Fuel.Typeflex-fuel (unleaded/E85)",-0.0179227577803472
"62","Vehicle.SizeLarge:Engine.Fuel.Typeflex-fuel (unleaded/natural gas)",-7.61159980064286e-05,"Vehicle.SizeLarge:Engine.Fuel.Typeflex-fuel (unleaded/natural gas)",-7.61159980064286e-05
"63","Vehicle.SizeMidsize:Engine.Fuel.Typeflex-fuel (unleaded/natural gas)",0,"Vehicle.SizeMidsize:Engine.Fuel.Typeflex-fuel (unleaded/natural gas)",0
