"","variable","estimate"
"1","(Intercept)",-4.39195509732528
"2","Year",0.00703400336206222
"3","Engine.Fuel.Typeregular unleaded",-0.0172489174838714
"4","Transmission.TypeAUTOMATIC",-0.0352384802519498
"5","Transmission.TypeDIRECT_DRIVE",-0.0285310937263148
"6","Driven_Wheelsfront wheel drive",-0.101740196886169
"7","Vehicle.Style4dr Hatchback",-0.132300919502932
"8","Vehicle.StyleConvertible",0.19786824869386
"9","Vehicle.StyleCoupe",0.141130154168156
"10","Vehicle.StyleRegular Cab Pickup",-0.0743623952346754
"11","highway.MPG",-2.20212133447713e-05
"12","Engine.HP.Clean",1.21545891199728e-06
"13","Engine.Cylinders.Clean4",-0.000589329534091483
"14","Engine.Cylinders.Clean8",0.0198167850214478
"15","Engine.Cylinders.Clean10",0.082140387151456
"16","Engine.Cylinders.Clean12",0.589598682510096
"17","Vehicle.SizeLarge:Engine.Fuel.Typediesel",0.0314901977340884
"18","Vehicle.SizeLarge:Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85)",0.0283461068377737
"19","Vehicle.SizeLarge:Engine.Fuel.Typeflex-fuel (premium unleaded required/E85)",0.138593700260342
"20","Vehicle.SizeMidsize:Engine.Fuel.Typeflex-fuel (unleaded/E85)",-0.0179227577803472
"21","Vehicle.SizeLarge:Engine.Fuel.Typeflex-fuel (unleaded/natural gas)",-7.61159980064286e-05
"22","Vehicle.SizeLarge:Engine.Fuel.Typepremium unleaded (recommended)",-0.00344415547647085
"23","Vehicle.SizeMidsize:Engine.Fuel.Typepremium unleaded (recommended)",-0.0179379870379371
"24","Vehicle.SizeLarge:Engine.Fuel.Typepremium unleaded (required)",0.0487422736594479
"25","Vehicle.SizeMidsize:Engine.Fuel.Typepremium unleaded (required)",0.00374423812711032
"26","Vehicle.SizeMidsize:Engine.Fuel.Typeregular unleaded",0.0117151129146919
"27","Vehicle.SizeMidsize:Transmission.TypeAUTOMATIC",0.0524460778366333
"28","Vehicle.SizeMidsize:Transmission.TypeMANUAL",-0.000967092004916804
"29","Vehicle.SizeLarge:Driven_Wheelsfront wheel drive",0.0113795904827996
"30","Vehicle.SizeMidsize:Driven_Wheelsfront wheel drive",0.013494696536763
"31","Vehicle.SizeLarge:Driven_Wheelsrear wheel drive",-0.00152986031308555
"32","Vehicle.SizeMidsize:Driven_Wheelsrear wheel drive",-0.0468039931370645
"33","Vehicle.SizeLarge:Vehicle.Style4dr Hatchback",0.17490807898398
"34","Vehicle.SizeMidsize:Vehicle.Style4dr Hatchback",0.109412638532215
"35","Vehicle.SizeMidsize:Vehicle.Style4dr SUV",-0.0539770497469715
"36","Vehicle.SizeMidsize:Vehicle.StyleCargo Van",0.0131039476901905
"37","Vehicle.SizeMidsize:Vehicle.StyleConvertible",-0.00464862852650778
"38","Vehicle.SizeLarge:Vehicle.StyleCoupe",-0.332620984194457
"39","Vehicle.SizeLarge:Vehicle.StyleCrew Cab Pickup",0.0199778172914666
"40","Vehicle.SizeMidsize:Vehicle.StylePassenger Minivan",0.0445327951715008
"41","Vehicle.SizeMidsize:Vehicle.StylePassenger Van",4.84988381377825e-05
"42","Vehicle.SizeLarge:Vehicle.StyleRegular Cab Pickup",-0.0695664664293106
"43","Vehicle.SizeLarge:Vehicle.StyleSedan",0.111831489010742
"44","Vehicle.SizeMidsize:Vehicle.StyleSedan",0.0513431845599982
"45","Vehicle.SizeMidsize:Vehicle.StyleWagon",0.191621608795318
"46","Vehicle.SizeMidsize:Popularity",-2.60171267912569e-06
"47","Vehicle.SizeLarge:Engine.Cylinders.Clean4",0.156015656618309
"48","Vehicle.SizeLarge:Engine.Cylinders.Clean6",0.100430204008861
"49","Vehicle.SizeLarge:Engine.Cylinders.Clean8",-0.015870005263189
"50","Vehicle.SizeMidsize:Engine.Cylinders.Clean8",-0.156739660415576
"51","Vehicle.SizeLarge:Engine.Cylinders.Clean12",0.00263723896232276
"52","Vehicle.SizeMidsize:NumDoors.Clean3",0.0419729508218921
"53","Year:Engine.Fuel.Typeflex-fuel (unleaded/natural gas)",-1.19815012331973e-05
"54","Year:Engine.Fuel.Typeregular unleaded",-2.03154072197167e-05
"55","Year:Transmission.TypeAUTOMATIC",-1.43742154764373e-07
"56","Year:Transmission.TypeDIRECT_DRIVE",-9.3468676008032e-08
"57","Year:Vehicle.StyleConvertible",7.09518311046455e-09
"58","Year:Vehicle.StyleRegular Cab Pickup",-1.4628988885189e-07
"59","Year:Engine.HP.Clean",7.19146089494121e-07
"60","Year:Engine.Cylinders.Clean4",-4.54958727397697e-09
"61","Year:Engine.Cylinders.Clean8",4.55725945372413e-05
"62","Year:Engine.Cylinders.Clean10",2.59599238500701e-07
"63","Year:Engine.Cylinders.Clean12",7.19947536915891e-07
"64","Engine.Fuel.Typediesel:Transmission.TypeAUTOMATIC",0.0398285871641584
"65","Engine.Fuel.Typepremium unleaded (required):Transmission.TypeAUTOMATIC",-0.0012590951625651
"66","Engine.Fuel.Typeregular unleaded:Transmission.TypeDIRECT_DRIVE",-6.07126114451753e-05
"67","Engine.Fuel.Typediesel:Transmission.TypeMANUAL",0.0224376670979913
"68","Engine.Fuel.Typeflex-fuel (unleaded/E85):Transmission.TypeMANUAL",-0.0549854341199471
"69","Engine.Fuel.Typeregular unleaded:Transmission.TypeMANUAL",-0.0387443631363726
"70","Engine.Fuel.Typediesel:Driven_Wheelsfour wheel drive",0.18998512447459
"71","Engine.Fuel.Typepremium unleaded (recommended):Driven_Wheelsfour wheel drive",0.10517379513463
"72","Engine.Fuel.Typepremium unleaded (required):Driven_Wheelsfour wheel drive",0.127305494071266
"73","Engine.Fuel.Typeflex-fuel (unleaded/E85):Driven_Wheelsfront wheel drive",-0.0965578542243249
"74","Engine.Fuel.Typepremium unleaded (required):Driven_Wheelsfront wheel drive",-0.0896586174681104
"75","Engine.Fuel.Typeflex-fuel (unleaded/E85):Driven_Wheelsrear wheel drive",0.0247779793735622
"76","Engine.Fuel.Typepremium unleaded (recommended):Driven_Wheelsrear wheel drive",-0.0154034194504548
"77","Engine.Fuel.Typepremium unleaded (required):Driven_Wheelsrear wheel drive",0.0215551283813305
"78","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.Style2dr SUV",0.271463028755238
"79","Engine.Fuel.Typediesel:Vehicle.Style4dr Hatchback",-0.0596641640886303
"80","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.Style4dr Hatchback",-0.00854633957404957
"81","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.Style4dr Hatchback",-0.0247832321959695
"82","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.Style4dr SUV",0.00569358387263419
"83","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.Style4dr SUV",0.006324302347348
"84","Engine.Fuel.Typepremium unleaded (required):Vehicle.Style4dr SUV",-0.00407386950325352
"85","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleCargo Minivan",-0.0806914532597242
"86","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleCargo Van",0.0174781595280464
"87","Engine.Fuel.Typeregular unleaded:Vehicle.StyleCargo Van",-0.0782284453778324
"88","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleConvertible",0.056495771136049
"89","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleConvertible",0.014108380338225
"90","Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleConvertible",0.0481046200212875
"91","Engine.Fuel.Typeregular unleaded:Vehicle.StyleConvertible",0.00189296691030512
"92","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleConvertible SUV",0.260394756419192
"93","Engine.Fuel.Typeregular unleaded:Vehicle.StyleConvertible SUV",-0.0173413216468203
"94","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleCoupe",0.0513928621667204
"95","Engine.Fuel.Typeregular unleaded:Vehicle.StyleCoupe",0.0130354143021559
"96","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleExtended Cab Pickup",-0.0196115357120055
"97","Engine.Fuel.Typeregular unleaded:Vehicle.StylePassenger Minivan",0.00437809152741526
"98","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StylePassenger Van",0.0166067742412428
"99","Engine.Fuel.Typediesel:Vehicle.StyleSedan",0.0398381892349684
"100","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleSedan",-0.0252734578584661
"101","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleSedan",-0.0379998237118064
"102","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleSedan",-6.78931257128483e-06
"103","Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleSedan",0.0322295647942759
"104","Engine.Fuel.Typeregular unleaded:Vehicle.StyleSedan",-0.0407659949584481
"105","Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleWagon",0.0392584332752075
"106","Engine.Fuel.Typeregular unleaded:Vehicle.StyleWagon",-0.00294583040681704
"107","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):highway.MPG",0.00470407757929328
"108","Engine.Fuel.Typeregular unleaded:highway.MPG",-0.00331804952841203
"109","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):city.mpg",9.93119662024506e-05
"110","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):city.mpg",-5.64820037758696e-07
"111","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Popularity",7.42638511639979e-06
"112","Engine.Fuel.Typeflex-fuel (unleaded/E85):Popularity",-1.93329411690786e-06
"113","Engine.Fuel.Typepremium unleaded (recommended):Popularity",-2.75096189818393e-06
"114","Engine.Fuel.Typepremium unleaded (required):Popularity",2.13344770161164e-05
"115","Engine.Fuel.Typediesel:Engine.HP.Clean",0.000196871812138265
"116","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.HP.Clean",0.000702245577419961
